TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,PROPERTIE_NAME,PROPERTIE_VALUE
meeting_reservation_sys,meeting_reservation_sys,interviewers,TABLE_CATALOG,def
meeting_reservation_sys,meeting_reservation_sys,interviewers,TABLE_SCHEMA,meeting_reservation_sys
meeting_reservation_sys,meeting_reservation_sys,interviewers,TABLE_NAME,interviewers
meeting_reservation_sys,meeting_reservation_sys,interviewers,TABLE_TYPE,BASE TABLE 
meeting_reservation_sys,meeting_reservation_sys,interviewers,ENGINE,InnoDB
meeting_reservation_sys,meeting_reservation_sys,interviewers,VERSION,10
meeting_reservation_sys,meeting_reservation_sys,interviewers,ROW_FORMAT,Dynamic   
meeting_reservation_sys,meeting_reservation_sys,interviewers,TABLE_ROWS,0
meeting_reservation_sys,meeting_reservation_sys,interviewers,AVG_ROW_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,interviewers,DATA_LENGTH,16384
meeting_reservation_sys,meeting_reservation_sys,interviewers,MAX_DATA_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,interviewers,INDEX_LENGTH,16384
meeting_reservation_sys,meeting_reservation_sys,interviewers,DATA_FREE,0
meeting_reservation_sys,meeting_reservation_sys,interviewers,AUTO_INCREMENT,
meeting_reservation_sys,meeting_reservation_sys,interviewers,CREATE_TIME,2025/09/14 12:21:00
meeting_reservation_sys,meeting_reservation_sys,interviewers,UPDATE_TIME,
meeting_reservation_sys,meeting_reservation_sys,interviewers,CHECK_TIME,
meeting_reservation_sys,meeting_reservation_sys,interviewers,TABLE_COLLATION,utf8mb4_0900_ai_ci
meeting_reservation_sys,meeting_reservation_sys,interviewers,CHECKSUM,
meeting_reservation_sys,meeting_reservation_sys,interviewers,CREATE_OPTIONS,
meeting_reservation_sys,meeting_reservation_sys,interviewers,TABLE_COMMENT,
meeting_reservation_sys,meeting_reservation_sys,managers,TABLE_CATALOG,def
meeting_reservation_sys,meeting_reservation_sys,managers,TABLE_SCHEMA,meeting_reservation_sys
meeting_reservation_sys,meeting_reservation_sys,managers,TABLE_NAME,managers
meeting_reservation_sys,meeting_reservation_sys,managers,TABLE_TYPE,BASE TABLE 
meeting_reservation_sys,meeting_reservation_sys,managers,ENGINE,InnoDB
meeting_reservation_sys,meeting_reservation_sys,managers,VERSION,10
meeting_reservation_sys,meeting_reservation_sys,managers,ROW_FORMAT,Dynamic   
meeting_reservation_sys,meeting_reservation_sys,managers,TABLE_ROWS,0
meeting_reservation_sys,meeting_reservation_sys,managers,AVG_ROW_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,managers,DATA_LENGTH,16384
meeting_reservation_sys,meeting_reservation_sys,managers,MAX_DATA_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,managers,INDEX_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,managers,DATA_FREE,0
meeting_reservation_sys,meeting_reservation_sys,managers,AUTO_INCREMENT,
meeting_reservation_sys,meeting_reservation_sys,managers,CREATE_TIME,2025/09/14 12:22:37
meeting_reservation_sys,meeting_reservation_sys,managers,UPDATE_TIME,
meeting_reservation_sys,meeting_reservation_sys,managers,CHECK_TIME,
meeting_reservation_sys,meeting_reservation_sys,managers,TABLE_COLLATION,utf8mb4_0900_ai_ci
meeting_reservation_sys,meeting_reservation_sys,managers,CHECKSUM,
meeting_reservation_sys,meeting_reservation_sys,managers,CREATE_OPTIONS,
meeting_reservation_sys,meeting_reservation_sys,managers,TABLE_COMMENT,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,TABLE_CATALOG,def
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,TABLE_SCHEMA,meeting_reservation_sys
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,TABLE_NAME,reservation_pasts
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,TABLE_TYPE,BASE TABLE 
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,ENGINE,InnoDB
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,VERSION,10
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,ROW_FORMAT,Dynamic   
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,TABLE_ROWS,0
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,AVG_ROW_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,DATA_LENGTH,16384
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,MAX_DATA_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,INDEX_LENGTH,49152
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,DATA_FREE,0
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,AUTO_INCREMENT,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,CREATE_TIME,2025/09/14 12:32:18
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,UPDATE_TIME,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,CHECK_TIME,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,TABLE_COLLATION,utf8mb4_0900_ai_ci
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,CHECKSUM,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,CREATE_OPTIONS,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,TABLE_COMMENT,
meeting_reservation_sys,meeting_reservation_sys,reservations,TABLE_CATALOG,def
meeting_reservation_sys,meeting_reservation_sys,reservations,TABLE_SCHEMA,meeting_reservation_sys
meeting_reservation_sys,meeting_reservation_sys,reservations,TABLE_NAME,reservations
meeting_reservation_sys,meeting_reservation_sys,reservations,TABLE_TYPE,BASE TABLE 
meeting_reservation_sys,meeting_reservation_sys,reservations,ENGINE,InnoDB
meeting_reservation_sys,meeting_reservation_sys,reservations,VERSION,10
meeting_reservation_sys,meeting_reservation_sys,reservations,ROW_FORMAT,Dynamic   
meeting_reservation_sys,meeting_reservation_sys,reservations,TABLE_ROWS,0
meeting_reservation_sys,meeting_reservation_sys,reservations,AVG_ROW_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,reservations,DATA_LENGTH,16384
meeting_reservation_sys,meeting_reservation_sys,reservations,MAX_DATA_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,reservations,INDEX_LENGTH,49152
meeting_reservation_sys,meeting_reservation_sys,reservations,DATA_FREE,0
meeting_reservation_sys,meeting_reservation_sys,reservations,AUTO_INCREMENT,1
meeting_reservation_sys,meeting_reservation_sys,reservations,CREATE_TIME,2025/09/14 12:33:18
meeting_reservation_sys,meeting_reservation_sys,reservations,UPDATE_TIME,
meeting_reservation_sys,meeting_reservation_sys,reservations,CHECK_TIME,
meeting_reservation_sys,meeting_reservation_sys,reservations,TABLE_COLLATION,utf8mb4_0900_ai_ci
meeting_reservation_sys,meeting_reservation_sys,reservations,CHECKSUM,
meeting_reservation_sys,meeting_reservation_sys,reservations,CREATE_OPTIONS,
meeting_reservation_sys,meeting_reservation_sys,reservations,TABLE_COMMENT,
meeting_reservation_sys,meeting_reservation_sys,times,TABLE_CATALOG,def
meeting_reservation_sys,meeting_reservation_sys,times,TABLE_SCHEMA,meeting_reservation_sys
meeting_reservation_sys,meeting_reservation_sys,times,TABLE_NAME,times
meeting_reservation_sys,meeting_reservation_sys,times,TABLE_TYPE,BASE TABLE 
meeting_reservation_sys,meeting_reservation_sys,times,ENGINE,InnoDB
meeting_reservation_sys,meeting_reservation_sys,times,VERSION,10
meeting_reservation_sys,meeting_reservation_sys,times,ROW_FORMAT,Dynamic   
meeting_reservation_sys,meeting_reservation_sys,times,TABLE_ROWS,0
meeting_reservation_sys,meeting_reservation_sys,times,AVG_ROW_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,times,DATA_LENGTH,16384
meeting_reservation_sys,meeting_reservation_sys,times,MAX_DATA_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,times,INDEX_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,times,DATA_FREE,0
meeting_reservation_sys,meeting_reservation_sys,times,AUTO_INCREMENT,
meeting_reservation_sys,meeting_reservation_sys,times,CREATE_TIME,2025/09/14 12:24:20
meeting_reservation_sys,meeting_reservation_sys,times,UPDATE_TIME,
meeting_reservation_sys,meeting_reservation_sys,times,CHECK_TIME,
meeting_reservation_sys,meeting_reservation_sys,times,TABLE_COLLATION,utf8mb4_0900_ai_ci
meeting_reservation_sys,meeting_reservation_sys,times,CHECKSUM,
meeting_reservation_sys,meeting_reservation_sys,times,CREATE_OPTIONS,
meeting_reservation_sys,meeting_reservation_sys,times,TABLE_COMMENT,
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_CATALOG,def
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_SCHEMA,meeting_reservation_sys
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_NAME,users
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_TYPE,BASE TABLE 
meeting_reservation_sys,meeting_reservation_sys,users,ENGINE,InnoDB
meeting_reservation_sys,meeting_reservation_sys,users,VERSION,10
meeting_reservation_sys,meeting_reservation_sys,users,ROW_FORMAT,Dynamic   
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_ROWS,0
meeting_reservation_sys,meeting_reservation_sys,users,AVG_ROW_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,users,DATA_LENGTH,16384
meeting_reservation_sys,meeting_reservation_sys,users,MAX_DATA_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,users,INDEX_LENGTH,0
meeting_reservation_sys,meeting_reservation_sys,users,DATA_FREE,0
meeting_reservation_sys,meeting_reservation_sys,users,AUTO_INCREMENT,1
meeting_reservation_sys,meeting_reservation_sys,users,CREATE_TIME,2025/09/14 12:19:10
meeting_reservation_sys,meeting_reservation_sys,users,UPDATE_TIME,
meeting_reservation_sys,meeting_reservation_sys,users,CHECK_TIME,
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_COLLATION,utf8mb4_0900_ai_ci
meeting_reservation_sys,meeting_reservation_sys,users,CHECKSUM,
meeting_reservation_sys,meeting_reservation_sys,users,CREATE_OPTIONS,
meeting_reservation_sys,meeting_reservation_sys,users,TABLE_COMMENT,
